Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
7.1600,1,6678.9551,1853.8882,-6416.5054,10000.0000
7.1960,0,37.4758,-0.9143,-37.4646,0.0000
7.1960,1,268.1385,-0.7767,-268.1374,616.4394
7.2280,0,37.5147,-1.0481,-37.5001,0.0000
7.2280,1,4785.5859,860.4417,-4707.5972,10000.0000
7.2680,0,37.5253,-1.2685,-37.5039,0.0000
7.2680,1,6489.6328,1744.0787,-6250.8818,10000.0000
7.2980,0,37.4082,-1.7220,-37.3686,0.0000
7.2980,1,1648.5582,149.9435,-1641.7251,4189.0381
7.3300,0,37.4744,-1.7824,-37.4319,0.0000
7.3300,1,6397.2578,1690.9127,-6169.7427,10000.0000
7.3640,0,37.5215,-1.8417,-37.4763,0.0000
7.3640,1,6339.6191,1658.2985,-6118.8901,10000.0000
7.4000,0,37.6022,-1.8092,-37.5587,0.0000
7.4000,1,6287.6367,1628.4224,-6073.1060,10000.0000
7.4320,0,37.4373,-2.4183,-37.3591,0.0000
7.4320,1,4321.6792,629.3003,-4275.6162,10000.0000
7.4600,0,37.4981,-2.4277,-37.4194,0.0000
7.4600,1,6216.0259,1586.8173,-6010.0742,10000.0000
7.4960,0,37.5286,-2.5518,-37.4418,0.0000
7.4960,1,6165.4062,1558.7122,-5965.1191,10000.0000
7.5280,0,37.4260,-2.9378,-37.3105,0.0000
7.5280,1,1946.4692,199.3711,-1936.2318,4921.2402
7.5620,0,37.4683,-3.0393,-37.3448,0.0000
7.5620,1,4286.9541,619.7484,-4241.9204,10000.0000
7.5980,0,37.4959,-3.1774,-37.3611,0.0000
7.5980,1,6053.2886,1496.1483,-5865.4790,10000.0000
7.6300,0,37.5414,-3.2310,-37.4021,0.0000
7.6300,1,6008.6504,1472.8933,-5825.3296,10000.0000
7.6600,0,37.6302,-3.1491,-37.4982,0.0000
7.6600,1,5973.8994,1453.9884,-5794.2549,10000.0000
7.6980,0,37.5769,-3.5183,-37.4118,0.0000
7.6980,1,5942.0874,1435.3760,-5766.1162,10000.0000
7.7320,0,37.6035,-3.6360,-37.4273,0.0000
7.7320,1,5054.8276,1004.7468,-4953.9648,10000.0000
