Timp,ID_Legatura,FortaModul_N,FortaX_N,FortaY_N,Moment_Nm
3.0200,1,55.8678,-55.6012,-5.4521,0.0000
3.0200,2,9061328.0000,20.0112,-9061328.0000,600.3149
3.0370,0,63.5418,-63.3145,-5.3691,0.0000
3.0370,1,62.7176,-62.3593,-6.6936,0.0000
3.0370,2,9068385.0000,20.0290,-9068385.0000,602.4097
3.0540,0,70.9317,-70.6217,-6.6242,0.0000
3.0540,1,70.0112,-69.5357,-8.1458,0.0000
3.0540,2,9075442.0000,20.0482,-9075442.0000,603.9688
3.0700,0,78.1895,-77.7779,-8.0121,0.0000
3.0700,1,77.1736,-76.5595,-9.7161,0.0000
3.0700,2,9082134.0000,20.0672,-9082134.0000,605.0030
3.0860,0,85.8347,-85.2927,-9.6307,0.0000
3.0860,1,84.7182,-83.9323,-11.5131,0.0000
3.0860,2,9088774.0000,20.0869,-9088774.0000,605.6781
3.1030,0,94.2723,-93.5542,-11.6142,0.0000
3.1030,1,93.0445,-92.0331,-13.6819,0.0000
3.1030,2,9095830.0000,20.1085,-9095830.0000,606.1172
3.1200,0,103.1084,-102.1667,-13.9039,0.0000
3.1200,1,101.7653,-100.4752,-16.1524,0.0000
3.1200,2,9102887.0000,20.1308,-9102887.0000,606.3534
3.1360,0,111.8566,-110.6517,-16.3741,0.0000
3.1360,1,110.3982,-108.7880,-18.7868,0.0000
3.1360,2,9109526.0000,20.1518,-9109526.0000,606.4614
3.1530,0,121.4004,-119.8518,-19.3288,0.0000
3.1530,1,119.8165,-117.7962,-21.9103,0.0000
3.1530,2,9116584.0000,20.1750,-9116584.0000,606.5366
3.1690,0,130.7313,-128.7872,-22.4617,0.0000
3.1690,1,129.0238,-126.5399,-25.1955,0.0000
3.1690,2,9123222.0000,20.1964,-9123222.0000,606.6376
3.1860,0,140.9753,-138.5222,-26.1848,0.0000
3.1860,1,139.1329,-136.0613,-29.0738,0.0000
3.1860,2,9130280.0000,20.2192,-9130280.0000,606.7758
3.2030,0,151.6468,-148.5766,-30.3602,0.0000
3.2030,1,149.6643,-145.8907,-33.3963,0.0000
3.2030,2,9137285.0000,20.2423,-9137285.0000,606.9749
3.2200,0,162.6103,-158.8009,-34.9911,0.0000
3.2200,1,160.4826,-155.8785,-38.1648,0.0000
3.2200,2,9144343.0000,20.2651,-9144343.0000,607.2740
3.2360,0,173.2505,-168.6164,-39.8025,0.0000
3.2360,1,170.9822,-165.4615,-43.0975,0.0000
3.2360,2,9150981.0000,20.2869,-9150981.0000,607.6201
3.2530,0,184.8711,-179.2052,-45.4181,0.0000
3.2530,1,182.4495,-175.7932,-48.8320,0.0000
3.2530,2,9158039.0000,20.3097,-9158039.0000,608.0523
3.2700,0,196.7930,-189.9146,-51.5747,0.0000
3.2700,1,194.2145,-186.2355,-55.0963,0.0000
3.2700,2,9165042.0000,20.3324,-9165042.0000,608.5594
3.2860,0,208.3167,-200.1098,-57.8955,0.0000
3.2860,1,205.5856,-196.1687,-61.5084,0.0000
3.2860,2,9171681.0000,20.3538,-9171681.0000,609.0804
3.3030,0,220.8588,-211.0181,-65.1918,0.0000
3.3030,1,217.9626,-206.7895,-68.8898,0.0000
3.3030,2,9178687.0000,20.3766,-9178687.0000,609.6646
3.3200,0,233.6641,-221.9356,-73.0993,0.0000
3.3200,1,230.5986,-217.4097,-76.8682,0.0000
3.3200,2,9185744.0000,20.3994,-9185744.0000,610.2648
3.3360,0,245.9572,-232.1944,-81.1216,0.0000
3.3360,1,242.7292,-227.3801,-84.9456,0.0000
3.3360,2,9192329.0000,20.4207,-9192329.0000,610.8400
3.3530,0,259.2839,-243.0561,-90.2879,0.0000
3.3530,1,255.8797,-237.9265,-94.1564,0.0000
3.3530,2,9199388.0000,20.4436,-9199388.0000,611.4403
3.3700,0,272.8217,-253.7880,-100.1166,0.0000
3.3700,1,269.2384,-248.3350,-104.0146,0.0000
3.3700,2,9206393.0000,20.4663,-9206393.0000,612.0317
3.3860,0,285.7601,-263.7438,-109.9912,0.0000
3.3860,1,282.0059,-257.9801,-113.9018,0.0000
3.3860,2,9213031.0000,20.4878,-9213031.0000,612.5879
3.4030,0,299.7446,-274.1597,-121.1747,0.0000
3.4030,1,295.8049,-268.0579,-125.0821,0.0000
3.4030,2,9220037.0000,20.5110,-9220037.0000,613.1932
3.4200,0,313.8663,-284.2739,-133.0427,0.0000
3.4200,1,309.7395,-277.8286,-136.9299,0.0000
3.4200,2,9227042.0000,20.5337,-9227042.0000,613.7147
3.4360,0,327.3438,-293.5392,-144.8749,0.0000
3.4360,1,323.0388,-286.7654,-148.7269,0.0000
3.4360,2,9233627.0000,20.5547,-9233627.0000,614.2620
3.4530,0,341.7937,-303.0143,-158.1304,0.0000
